Ln-nm	rel.Emission
5.708877872	1.40927E-06
5.709002088	0.000348794
5.70924974	0.001044269
5.709620436	0.002086423
5.71011281	0.003476668
5.710603035	0.004866912
5.711090917	0.006256452
5.711576846	0.007646696
5.712060821	0.00903694
5.712542453	0.010427185
5.713022327	0.011817429
5.713500053	0.013206969
5.713975826	0.014597213
5.714449645	0.015987458
5.714921512	0.017377702
5.715391425	0.018767242
5.715859581	0.020157486
5.716325783	0.02154773
5.716790228	0.022937975
5.717252915	0.024327514
5.717713648	0.025717759
5.718172624	0.027107298
5.718630038	0.028497543
5.719085694	0.029887082
5.719539592	0.031277327
5.719991732	0.032666866
5.720442505	0.034056406
5.720891325	0.03544665
5.721338778	0.03683619
5.721784668	0.03822573
5.722228996	0.039615269
5.722671957	0.041004809
5.72311316	0.042394349
5.723552995	0.043783889
5.723991464	0.045173428
5.724428565	0.046562263
5.724864104	0.047951803
5.725298471	0.049340638
5.725731276	0.050729473
5.726162909	0.052119013
5.726593174	0.053507848
5.727022268	0.054896683
5.72745019	0.056285518
5.727876745	0.057674353
5.728302128	0.059062483
5.728726339	0.060451319
5.729149378	0.061839449
5.729571441	0.063228284
5.729992331	0.064616414
5.73041205	0.066004545
5.730830988	0.067392675
5.731248559	0.068780101
5.731665348	0.070168232
5.732081161	0.071555657
5.732495997	0.072943083
5.732910052	0.074331214
5.73332313	0.075717935
5.733735232	0.077105361
5.734146553	0.078492786
5.734557092	0.079879507
5.734966655	0.081266229
5.735375632	0.08265295
5.735783828	0.084039671
5.736191242	0.085426392
5.736598071	0.086812409
5.737004118	0.08819913
5.737409579	0.089585146
5.737814455	0.090971163
5.738420499	0.093049835
5.739226734	0.095820459
5.740031016	0.098591083
5.740833345	0.101360297
5.741633917	0.104129512
5.742433121	0.106898022
5.743231153	0.109665122
5.744028014	0.112432223
5.744824093	0.115198619
5.746016845	0.119346099
5.747606269	0.124873958
5.74879824	0.129017211
5.749593147	0.131778674
5.750388836	0.134538728
5.751184915	0.137298078
5.751982166	0.140056723
5.752780394	0.142814663
5.753579989	0.145571195
5.754381146	0.148326316
5.754983088	0.150392305
5.755385034	0.151769866
5.75578737	0.153146723
5.756190097	0.154522874
5.756593606	0.155899026
5.756997505	0.157275177
5.757402185	0.158650624
5.757807255	0.160026071
