Ln-nm	rel.Emission
8.424386513	1.40927E-06
8.424386513	1.40927E-06
8.430952214	0.028359434
8.434703903	0.050701992
8.467531822	0.04640513
8.474097523	0.0360928
8.485352983	0.034373492
8.490042741	0.045544771
8.502235879	0.039530009
8.521932982	0.030936283
8.539706291	1.40927E-06
8.924310823	1.40927E-06
8.924310823	1.40927E-06
8.938379903	0.017188155
8.944007731	0.041249317
8.945180561	0.041786249
8.947525635	0.042860817
8.949870124	0.04393468
8.952214613	0.045009248
8.953387052	0.045545475
8.95666961	0.061443444
8.959952558	0.077340709
8.964642512	0.077340709
8.965228439	0.071110328
8.966401073	0.058650272
8.967573904	0.046190216
8.968746343	0.03373016
8.96933227	0.02749978
8.971442583	0.026425916
8.974607956	0.024814417
8.976718269	0.023739849
8.977773328	0.023203622
8.979414704	0.042323181
8.982697652	0.080563003
8.984339029	0.099682562
8.986215948	0.235455106
8.989498505	0.2419004
8.992781453	0.248344989
8.996533533	0.3506044
9.004505849	0.355760213
9.012478556	0.360916025
9.012829917	0.378102771
9.01353342	0.412475558
9.014237118	0.44684764
9.014940621	0.481220427
9.015292177	0.498407173
9.01857493	0.500126482
9.023733625	0.626445646
9.024319356	0.611300227
9.025140435	0.503562986
9.025491601	0.581009389
9.027250748	0.535572428
9.028423188	0.50528159
9.033112947	0.623008438
9.034285777	0.618389557
9.036630851	0.609151796
9.04014778	0.595295154
9.042492464	0.586057392
9.043195966	0.586002431
9.044602777	0.585892508
9.046009782	0.585784699
9.047416593	0.585677594
9.049526906	0.585517642
9.051637219	0.585359099
9.053044225	0.5852527
9.053747728	0.585199147
9.057499417	0.728705762
9.057512503	0.729163775
9.057539651	0.730065707
9.057567971	0.730950024
9.057597853	0.731816725
9.057628907	0.732665809
9.057661328	0.733496574
9.057694922	0.734309722
9.057729882	0.735105255
9.05775703	0.735690806
9.057775389	0.736075537
9.057794334	0.736455335
9.057813279	0.73683161
9.05783281	0.737202952
9.057852536	0.737570772
9.057872457	0.737933659
9.05789277	0.738292318
9.057913472	0.738646749
9.057934566	0.738996952
9.057955854	0.739342928
9.057977338	0.739684676
9.057999213	0.740021491
9.058021478	0.740354784
9.058044134	0.740683848
9.058066985	0.741008685
9.058090032	0.741328589
9.058113469	0.74164497
9.058137296	0.741957123
9.058161515	0.742265048
9.058185733	0.742568746
9.058210537	0.742868216
9.058235537	0.743163458
9.058260732	0.743454472
9.058286512	0.743741258
9.058312293	0.744024521
9.058338465	0.744302852
9.058365027	0.74457766
9.058391784	0.744848239
9.058418932	0.745114591
9.05844647	0.745376715
9.058474204	0.745635316
9.058502133	0.745889689
9.058530453	0.746139835
9.058558968	0.746385752
9.058587874	0.746628147
9.05861717	0.746866313
9.058646662	0.747100252
9.058676349	0.747329963
9.058706427	0.747556151
9.058736895	0.747778111
9.058767558	0.747996547
9.058798417	0.748210052
9.058829667	0.748420737
9.058861307	0.748626491
9.058893142	0.748828721
9.058925173	0.749027428
9.058957594	0.749221907
9.058990211	0.749412158
9.059023218	0.749598887
9.05905642	0.749781387
9.059090013	0.749960364
9.059123802	0.750135114
9.059157981	0.75030634
9.059192355	0.750473338
9.059226925	0.750636814
9.059261885	0.750796766
9.059297236	0.75095249
9.059332587	0.751103986
9.059368524	0.751252664
9.059404461	0.75139641
9.059440788	0.751537337
9.059477506	0.751674036
9.05951442	0.751807212
9.059551528	0.75193616
9.059589028	0.752061585
9.059626722	0.752183487
9.059664808	0.752301866
9.059702893	0.752416016
9.059741564	0.752526644
9.059780235	0.752633044
9.059819492	0.752736625
9.059858749	0.752835979
9.059898397	0.752931809
9.05993824	0.753024116
9.059978474	0.7531129
9.060018903	0.753197456
9.060059527	0.753279194
9.060100542	0.753356704
9.060141752	0.75343069
9.060172806	0.753483538
9.060193509	0.753518065
9.060214407	0.753551888
9.060235305	0.753584301
9.060256398	0.753616009
9.060277492	0.753646309
9.060298585	0.753676608
9.060319874	0.753705498
9.060340967	0.753733683
9.060362451	0.753760459
9.06038374	0.753786531
9.060405224	0.753812602
9.060426708	0.75383656
